Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100000,Overloading,4544,Karnataka,1/1/2023,23:02,Car,Red,2012,West Bengal,25,Male,Commercial,5,Cloudy,Slippery,OFF9971,Local Police,Valid,4,N/A,Yes,Green,100,95,0.03,Negative,Yes,No,Online,Yes,3,Repeat Offender
VLT100001,Driving Without License,2776,Punjab,1/2/2023,0:42,Scooter,Silver,2010,Tamil Nadu,32,Female,Commercial,4,Rainy,Dry,OFF6000,Highway Patrol,Valid,4,N/A,No,Green,40,48,0.45,Negative,Yes,Yes,Online,No,2,Repeat Offender
VLT100002,Using Mobile Phone,4785,Maharashtra,1/3/2023,4:32,Scooter,Grey,2006,Tamil Nadu,67,Female,Two-Wheeler,8,Clear,Potholes,OFF5706,Local Police,Valid,5,Yes,Yes,Yellow,80,26,0.31,Not Conducted,No,No,Not Paid,Yes,4,
VLT100003,No Seatbelt,1138,Uttar Pradesh,1/4/2023,15:06,Car,Green,1996,Uttar Pradesh,46,Male,Learner,3,Rainy,Wet,OFF5575,Highway Patrol,Valid,2,No,No,Green,100,115,0.09,Not Conducted,No,Yes,Online,No,5,Repeat Offender
VLT100004,Over-speeding,1610,Karnataka,1/5/2023,6:57,Truck,Yellow,2016,Delhi,63,Female,Four-Wheeler,4,Foggy,Potholes,OFF7147,Traffic Police,Valid,4,N/A,No,Red,30,115,0.28,Positive,No,Yes,Cash,Yes,0,
VLT100005,Over-speeding,4636,Maharashtra,1/6/2023,16:36,Bus,White,2013,Gujarat,33,Male,Commercial,2,Rainy,Dry,OFF2122,RTO,Valid,5,Yes,N/A,Green,100,87,0.17,Negative,Yes,No,Card,No,3,Fine Paid On Spot
VLT100006,Wrong Parking,2793,West Bengal,1/7/2023,2:03,Scooter,Silver,2018,Delhi,42,Other,Learner,0,Dust Storm,Dry,OFF6500,Local Police,Valid,2,N/A,N/A,Green,30,24,0.5,Not Conducted,Yes,Yes,Cash,Yes,1,
VLT100007,Over-speeding,3965,Delhi,1/8/2023,16:23,Truck,Yellow,2009,Punjab,28,Male,Four-Wheeler,2,Clear,Under Construction,OFF1220,Local Police,Valid,2,N/A,No,Green,60,119,0.19,Positive,No,No,Not Paid,No,2,Fine Paid On Spot
VLT100008,No Seatbelt,4497,Uttar Pradesh,1/9/2023,18:09,Bus,Green,2021,Maharashtra,34,Female,Heavy Vehicle,9,Foggy,Wet,OFF8579,RTO,Expired,3,Yes,N/A,Green,80,36,0.28,Negative,No,No,Cash,No,4,First Violation
VLT100009,Using Mobile Phone,374,West Bengal,1/10/2023,17:01,Car,Red,1997,Uttar Pradesh,75,Other,Commercial,0,Clear,Dry,OFF7351,Local Police,Expired,5,No,Yes,Red,30,114,0.48,Not Conducted,Yes,Yes,Not Paid,No,2,Repeat Offender
VLT100010,Using Mobile Phone,458,Tamil Nadu,1/11/2023,5:24,Bus,Silver,2005,West Bengal,28,Female,Commercial,1,Cloudy,Slippery,OFF1849,Highway Patrol,Valid,2,No,No,Red,80,107,0.06,Positive,No,Yes,Card,No,2,First Violation
VLT100011,Overloading,2236,West Bengal,1/12/2023,9:17,Bus,Silver,1997,Maharashtra,22,Female,Commercial,0,Foggy,Wet,OFF8390,RTO,Expired,5,Yes,Yes,Green,40,62,0.25,Not Conducted,Yes,Yes,Online,No,4,First Violation
